Key,Action,Rank
action.CloseAllEditorsButActive,Close Others,
action.CloseAllNotifications,Close All,
action.CloseAllUnmodifiedEditors,Close Unmodified,
action.CloseAllUnpinnedEditors,Close All but Pinned,
action.CloseFirstNotification,Close First,
action.CloseProject,Close Project,
action.CloseWindow,Close Active Window,
action.CodeCleanup,Code Cleanup...,
action.CodeInspection.OnEditor,Inspect Code With Editor Settings,
action.CollapseAllRegions,Collapse All,
action.CollapseBlock,Fold Code Block,
action.CollapseDocComments,Collapse doc comments,
action.CollapseRegion,Collapse,
action.CollapseRegionRecursively,Collapse Recursively,
action.CollapseSelection,Fold Selection / Remove region,
action.CollapseTreeNode,Collapse Tree Node,
action.CollectZippedLogs,Collect and Show Logs in File Manager,
action.CommittedChanges.Details,Show Details,
action.CommittedChanges.Filter,Filter,
action.CommittedChanges.Refresh,Refresh,
action.CommittedChanges.Revert,Revert Changes,
action.Compare.LastVersion,Compare with Latest Repository Version,
action.Compare.SameVersion,Compare with the Same Repository Version,
action.Compare.Selected,Compare with...,
action.CompareClipboardWithSelection,Compare with Clipboard,
action.CompareFileWithEditor,Compare File with Editor,
action.CompareTwoFiles,Compare Files,
action.Compile,Rebuild,
action.CompileDirty,Build Project,
action.CompileFile,Recompile,
action.CompileProject,Rebuild Project,
action.ConfigureFileDefaultEncoding,Configure Default Encoding...,
action.Console.Execute,Execute Current Statement in One-Line Console,
action.Console.Execute.Multiline,Execute Current Statement in Multiline Console,
action.Console.History.Browse,Browse Console History,
action.Console.History.Next,Next Entry in Console History,
action.Console.History.Previous,Previous Entry in Console History,
action.Console.Open,Open Console,
action.Console.SplitLine,Split Line,
action.ContextHelp,Context Help,
action.ConvertIndentsToSpaces,To Spaces,
action.ConvertIndentsToTabs,To Tabs,
action.ConvertProject,&Convert Project,
action.ConvertToInstanceMethod,Convert To Instance Method...,
action.CopyAsPlainText,Copy as Plain Text,
action.CopyAsRichText,Copy as Rich Text,
action.CopyElement,Copy...,
action.CopyUrl,Copy URL,
action.CreateDesktopEntry,Create Desktop Entry...,
action.CreateLauncherScript,Create Command-line Launcher...,
action.CreateLibraryFromFile,Add as Library...,
action.CreateRunConfiguration,Create Run Configuration,
action.DebugBuildProcess,Debug Build Process,
action.Debugger.AddToWatch,Add to Watches,
action.Debugger.AdjustArrayRange,Adjust Range...,
action.Debugger.AutoRenderer,Auto,
action.Debugger.CompareValueWithClipboard,Compare Value with Clipboard,
action.Debugger.CopyValue,Copy Value,
action.Debugger.CustomizeContextView,Customize Data Views...,
action.Debugger.CustomizeThreadsView,Customize Threads View...,
action.Debugger.EditArrayFilter,Edit...,
action.Debugger.EditCustomField,Edit...,
action.Debugger.EditFrameSource,EditFrameSource,
action.Debugger.EditNodeSource,EditNodeSource,
action.Debugger.EditTypeSource,Jump to Object Source,
action.Debugger.EditWatch,Edit Watch,
action.Debugger.EvaluateInConsole,Evaluate in Console,
action.Debugger.FilterArray,Filter...,
action.Debugger.FocusOnBreakpoint,Focus On Breakpoint,
action.Debugger.ForceEarlyReturn,Force Return,
action.Debugger.FreezeThread,Suspend,
action.Debugger.Inspect,Inspect,
action.Debugger.InterruptThread,Interrupt,
action.Debugger.MarkObject,Mark Object...,
action.Debugger.MarkObject.unmark,Unmark Object,
action.Debugger.MuteBreakpoints,Mute Breakpoints,
action.Debugger.NewCustomField,New Class Level Watch...,
action.Debugger.NewWatch,New Watch...,
action.Debugger.PopFrame,Drop Frame,
action.Debugger.RemoveAllWatches,Remove All Watches,
action.Debugger.RemoveArrayFilter,Remove Filter,
action.Debugger.RemoveCustomField,Remove Watch,
action.Debugger.RemoveWatch,Remove Watch,
action.Debugger.ResumeThread,Resume,
action.Debugger.SetValue,Set Value...,
action.Debugger.ShowFrame,Show Frame,
action.Debugger.ShowLibraryFrames,Show/Hide Library Frames,
action.Debugger.ShowReferring,Show Referring Objects...,
action.Debugger.Tree.EvaluateInConsole,Evaluate In Console,
action.Debugger.ViewAsGroup,View as,
action.Debugger.ViewEditText,View/Edit Text,
action.Debugger.ViewText,View Text,
action.DebugListen,Throw Debug Exception,
action.DecodeBytesAction,Decode Bytes...,
action.DecrementWindowHeight,Decrement Height,
action.DecrementWindowWidth,Decrement Width,
action.DelegateMethods,Delegate Methods...,
action.Diff.AppendLeftSide,Append Left Side,
action.Diff.AppendRightSide,Append Right Side,
action.Diff.ApplyLeftSide,Accept Left Side,
action.Diff.ApplyNonConflicts,Apply All Non-Conflicting Changes,
action.Diff.ApplyNonConflicts.Left,Apply Non-Conflicting Changes from the Left Side,
action.Diff.ApplyNonConflicts.Right,Apply Non-Conflicting Changes from the Right Side,
action.Diff.ApplyRightSide,Accept Right Side,
action.Diff.ComparePartial.Base.Left,Compare Left and Middle Contents,
action.Diff.ComparePartial.Base.Right,Compare Middle and Right Contents,
action.Diff.ComparePartial.Left.Right,Compare Left and Right Contents,
action.Diff.CompareWithBase.Left,Compare Base and Left Contents,
action.Diff.CompareWithBase.Result,Compare Base and Middle Contents,
action.Diff.CompareWithBase.Right,Compare Base and Right Contents,
action.Diff.FocusOppositePane,Select Opposite Diff Pane,
action.Diff.FocusOppositePaneAndScroll,Select Position In Opposite Diff Pane,
action.Diff.HighlightMode,Toggle Diff Highlight Mode,
action.Diff.IgnoreLeftSide,Ignore Left Side,
action.Diff.IgnoreRightSide,Ignore Right Side,
action.Diff.IgnoreWhitespace,Toggle Diff Ignore Whitespace,
action.Diff.NextChange,Compare Next File,
action.Diff.NextConflict,Next Conflict,
action.Diff.PrevChange,Compare Previous File,
action.Diff.PreviousConflict,Previous Conflict,
action.Diff.ResolveConflict,Resolve Automatically,
action.Diff.SelectedChange,Choose File To Compare,
action.Diff.ShowDiff,Show Diff,
action.DropAnError,Drop An Error,
action.DropAnOutOfMemoryError,Drop An OutOfMemoryError,
action.DropAnOutOfMetaspaceError,Drop an OutOfMemoryError in Metaspace,
action.DumpInspectionDescriptions,Dump Inspection Descriptions,
action.DumpIntentionsDescriptions,Dump Intentions Descriptions,
action.DumpPsiMemoryCaches,Dump what is cached in PSI,
action.EditBreakpoint,Edit breakpoint,
action.EditCustomProperties,Edit Custom Properties...,
action.EditCustomVmOptions,Edit Custom VM Options...,
action.EditFavorites,Rename Favorites List,
action.EditMacros,Edit Macros,
action.EditorAddOrRemoveCaret,Add or Remove Caret,
action.EditorAddRectangularSelectionOnMouseDrag,Add Rectangular Selection on Mouse Drag,
action.EditorBackSpace,Backspace,
action.EditorBreadcrumbsHideBoth,Don't Show,
action.EditorBreadcrumbsShowAbove,Top,
action.EditorBreadcrumbsShowBelow,Bottom,
action.EditorChooseLookupItem,Choose Lookup Item,
action.EditorChooseLookupItemCompleteStatement,Choose Lookup Item and Invoke Complete Statement,
